plane,gene,assection_data_set_id
coronal,0610007P14Rik,70927828
coronal,0610010F05Rik,74957923
coronal,0610010O12Rik,75079788
coronal,1110002B05Rik,72081396
coronal,1110007C09Rik,74357561
coronal,1110008P14Rik,71015816
coronal,1110036O03Rik,2547
coronal,1110037F02Rik,74988462
coronal,1190002N15Rik,77332088
coronal,1200011I18Rik,77414569
coronal,1200016E24Rik,1591
coronal,1500002O20Rik,1954
coronal,1500032L24Rik,75651168
coronal,1600021P15Rik,71924290
coronal,1700019N12Rik,73718050
coronal,1700019N12Rik,75233110
coronal,1700020C11Rik,75774673
coronal,1700037H04Rik,324211
coronal,1700054N08Rik,70743908
coronal,1700086L19Rik,1643
coronal,1810031K17Rik,227165
coronal,1810041L15Rik,72340125
coronal,2010106G01Rik,1647
coronal,2010111I01Rik,71717630
coronal,2010300C02Rik,70743898
coronal,2310001H12Rik,75774665
coronal,2310003H01Rik,72080185
coronal,2310042E22Rik,74357582
coronal,2310046A06Rik,73931408
coronal,2310079N02Rik,75773704
coronal,2410066E13Rik,71587888
coronal,2610017I09Rik,77280584
coronal,2610018G03Rik,74047829
coronal,2610019F03Rik,74724511
coronal,2610028E06Rik,71020430
coronal,2610109H07Rik,74272038
coronal,2610110G12Rik,74425517
coronal,2810405K02Rik,74047901
coronal,2810432L12Rik,75774671
coronal,2900026A02Rik,71670713
coronal,3100002H09Rik,77340484
coronal,3110035E14Rik,73817427
coronal,3110047P20Rik,73771233
coronal,3110082D06Rik,74581400
coronal,3632451O06Rik,70928306
coronal,3830406C13Rik,77414919
coronal,4631416L12Rik,73931623
coronal,4632411B12Rik,74988741
coronal,4833414E09Rik,73521828
coronal,4833420G17Rik,74047840
coronal,4833424O15Rik,70744326
coronal,4921517L17Rik,67779872
coronal,4921531P07Rik,71670715
coronal,4930451C15Rik,74750011
coronal,4930473A06Rik,75080180
coronal,4930506M07Rik,322956
coronal,4930572J05Rik,72008306
coronal,4931408A02Rik,112645384
coronal,4932418E24Rik,73635776
coronal,4932438H23Rik,1321
coronal,4933403F05Rik,74819246
coronal,4933427D14Rik,74272053
coronal,5330421K23Rik*,75043138
coronal,5730409E04Rik,74988752
coronal,5730469M10Rik,70436739
coronal,6030405A18Rik,71920518
coronal,6330403A02Rik,72340183
coronal,6330407J23Rik,1988
coronal,6330503K22Rik,77280311
coronal,6330527O06Rik,70927827
coronal,6430548M08Rik,72008118
coronal,6430573F11Rik,75651150
coronal,6430709H04Rik,74750012
coronal,6530401D17Rik,45841
coronal,6530418L21Rik,74819651
coronal,6720401G13Rik,74958576
coronal,6720456B07Rik,74988744
coronal,6820408C15Rik,74363339
coronal,7420498E04Rik*,75043148
coronal,8030498B09Rik,74958606
coronal,9030224M15Rik,74581410
coronal,9030409G11Rik,72007937
coronal,9030425E11Rik,71924353
coronal,9130024F11Rik,51
coronal,9130024F11Rik,71
coronal,9130024F11Rik,1313
coronal,9330182L06Rik,75081005
coronal,9430020K01Rik,75988537
coronal,9430028L06Rik,71717154
coronal,9530068E07Rik,74988509
coronal,9530085C10Rik*,75080269
